date,open,high,low,close,shares_traded,turnover
2024-02-01,7483.1,7493.05,7386.0,7454.5,670680738.0,7160.84
2024-01-31,7304.65,7441.8,7293.9,7435.4,659905396.0,7870.39
2024-01-30,7289.8,7331.95,7255.6,7263.3,684511737.0,7580.98
2024-01-29,7192.55,7252.8,7185.95,7241.15,628541536.0,7211.9
2024-01-25,7177.05,7182.9,7091.9,7158.85,455678461.0,6679.22
2024-02-01,55673.85,55858.3,55168.6,55508.85,481077234.0,17037.36
2024-01-31,54916.1,55346.55,54800.1,55299.25,467463967.0,16220.87
2024-01-30,55249.25,55507.15,54763.75,54826.2,395006294.0,14424.18
2024-01-29,54564.2,55081.2,54369.4,55012.6,452499959.0,15603.28
2024-01-25,54493.2,54493.2,53779.5,54291.75,399587259.0,11922.63
2024-02-01,13672.35,13672.35,13427.4,13529.35,619810209.0,13867.77
2024-01-31,13479.25,13633.65,13450.3,13620.6,456352198.0,11578.48
2024-01-30,13623.25,13649.35,13464.95,13476.35,584138669.0,12661.93
2024-01-29,13293.6,13556.8,13268.55,13543.8,646166919.0,16143.83
2024-01-25,13405.1,13411.95,13160.3,13240.0,744085512.0,12626.95
2024-02-01,21780.65,21832.95,21658.75,21697.45,332541208.0,34042.15
2024-01-31,21487.25,21741.35,21448.85,21725.7,410583065.0,41587.85
2024-01-30,21775.75,21813.05,21501.8,21522.1,375137333.0,32916.3
2024-01-29,21433.1,21763.25,21429.6,21737.6,376702289.0,34516.42
2024-01-25,21454.6,21459.0,21247.05,21352.6,418143077.0,40088.5
2024-02-01,11992.75,12003.15,11901.2,11937.65,2240822171.0,78347.96
2024-01-31,11822.45,11961.5,11802.5,11953.8,1930336648.0,81675.18
2024-01-30,11957.35,11974.0,11819.6,11829.6,2098483289.0,71546.83
2024-01-29,11771.5,11937.75,11767.65,11925.9,2236899839.0,76698.09
2024-01-25,11783.1,11783.65,11660.2,11724.75,2213135938.0,75882.62
2024-02-01,7483.1,7493.05,7386.0,7454.5,670680738.0,7160.84
2024-01-31,7304.65,7441.8,7293.9,7435.4,659905396.0,7870.39
2024-01-30,7289.8,7331.95,7255.6,7263.3,684511737.0,7580.98
2024-01-29,7192.55,7252.8,7185.95,7241.15,628541536.0,7211.9
2024-01-25,7177.05,7182.9,7091.9,7158.85,455678461.0,6679.22
2024-02-01,55673.85,55858.3,55168.6,55508.85,481077234.0,17037.36
2024-01-31,54916.1,55346.55,54800.1,55299.25,467463967.0,16220.87
2024-01-30,55249.25,55507.15,54763.75,54826.2,395006294.0,14424.18
2024-01-29,54564.2,55081.2,54369.4,55012.6,452499959.0,15603.28
2024-01-25,54493.2,54493.2,53779.5,54291.75,399587259.0,11922.63
2024-02-01,13672.35,13672.35,13427.4,13529.35,619810209.0,13867.77
2024-01-31,13479.25,13633.65,13450.3,13620.6,456352198.0,11578.48
2024-01-30,13623.25,13649.35,13464.95,13476.35,584138669.0,12661.93
2024-01-29,13293.6,13556.8,13268.55,13543.8,646166919.0,16143.83
2024-01-25,13405.1,13411.95,13160.3,13240.0,744085512.0,12626.95
2024-02-01,21780.65,21832.95,21658.75,21697.45,332541208.0,34042.15
2024-01-31,21487.25,21741.35,21448.85,21725.7,410583065.0,41587.85
2024-01-30,21775.75,21813.05,21501.8,21522.1,375137333.0,32916.3
2024-01-29,21433.1,21763.25,21429.6,21737.6,376702289.0,34516.42
2024-01-25,21454.6,21459.0,21247.05,21352.6,418143077.0,40088.5
2024-02-01,11992.75,12003.15,11901.2,11937.65,2240822171.0,78347.96
2024-01-31,11822.45,11961.5,11802.5,11953.8,1930336648.0,81675.18
2024-01-30,11957.35,11974.0,11819.6,11829.6,2098483289.0,71546.83
2024-01-29,11771.5,11937.75,11767.65,11925.9,2236899839.0,76698.09
2024-01-25,11783.1,11783.65,11660.2,11724.75,2213135938.0,75882.62
2024-02-01,7483.1,7493.05,7386.0,7454.5,670680738.0,7160.84
2024-01-31,7304.65,7441.8,7293.9,7435.4,659905396.0,7870.39
2024-01-30,7289.8,7331.95,7255.6,7263.3,684511737.0,7580.98
2024-01-29,7192.55,7252.8,7185.95,7241.15,628541536.0,7211.9
2024-01-25,7177.05,7182.9,7091.9,7158.85,455678461.0,6679.22
2024-02-01,55673.85,55858.3,55168.6,55508.85,481077234.0,17037.36
2024-01-31,54916.1,55346.55,54800.1,55299.25,467463967.0,16220.87
2024-01-30,55249.25,55507.15,54763.75,54826.2,395006294.0,14424.18
2024-01-29,54564.2,55081.2,54369.4,55012.6,452499959.0,15603.28
2024-01-25,54493.2,54493.2,53779.5,54291.75,399587259.0,11922.63
2024-02-01,13672.35,13672.35,13427.4,13529.35,619810209.0,13867.77
2024-01-31,13479.25,13633.65,13450.3,13620.6,456352198.0,11578.48
2024-01-30,13623.25,13649.35,13464.95,13476.35,584138669.0,12661.93
2024-01-29,13293.6,13556.8,13268.55,13543.8,646166919.0,16143.83
2024-01-25,13405.1,13411.95,13160.3,13240.0,744085512.0,12626.95
2024-02-01,21780.65,21832.95,21658.75,21697.45,332541208.0,34042.15
2024-01-31,21487.25,21741.35,21448.85,21725.7,410583065.0,41587.85
2024-01-30,21775.75,21813.05,21501.8,21522.1,375137333.0,32916.3
2024-01-29,21433.1,21763.25,21429.6,21737.6,376702289.0,34516.42
